code,name,description,wiki,,,,,,,,,,,
0,geospatialIssue,Geospatial issue,Wiki,,,,,,,,,,,
19,habitatMismatch,Habitat incorrect for species,Wiki,,,,,,,,,,,
20,detectedOutlier,Suspected outlier,Wiki,,,,,,,,,,,
1000,LOCATION_NOT_SUPPLIED,"no indication of location (coordinates, locality, polygon, location ID, verbatim coordinates) supplied",Wiki,,,,,,,,,,,
1001,COORDINATES_CENTRE_OF_STATEPROVINCE,Coordinates are the exact centre of the state or territory,Wiki,,,,,,,,,,,
1002,UNCERTAINTY_IN_PRECISION,Uncertainty value in precision field,Wiki,,,,,,,,,,,
1003,UNCERTAINTY_NOT_SPECIFIED,Uncertainty was not supplied with the record,Wiki,,,,,,,,,,,
1005,UNKNOWN_COUNTRY_NAME,Unrecognised or unparseable country name,Wiki,,,,,,,,,,,
1006,COORDINATES_CENTRE_OF_COUNTRY,Coordinates are the exact centre of the country,Wiki,,,,,,,,,,,
1007,MISSING_GEODETICDATUM,geodeticDatum not supplied for coordinates,Wiki,,,,,,,,,,,
1008,MISSING_GEOREFERENCE_DATE,GeoreferenceDate not supplied with the record,Wiki,,,,,,,,,,,
1009,MISSING_GEOREFERENCEDBY,GeoreferencedBy not supplied with the record,Wiki,,,,,,,,,,,
1010,MISSING_GEOREFERENCEPROTOCOL,GeoreferenceProtocol not supplied with the record,Wiki,,,,,,,,,,,
1011,MISSING_GEOREFERENCESOURCES,GeoreferenceSources not supplied with the record,Wiki,,,,,,,,,,,
1012,MISSING_GEOREFERENCEVERIFICATIONSTATUS,GeoreferenceVerificationStatus not supplied with the record,Wiki,,,,,,,,,,,
1013,MISSING_COLLECTION_DATE,Collection date field is missing or null,Wiki,,,,,,,,,,,
1014,GEOREFERENCE_POST_OCCURRENCE,"The record was georeferenced after recording - not an error but has implications for precision and accuracy. The amount of time may indicate severity? GeoreferenceDate isn't a current DwC field.",Wiki,,,,,,,,,,,
1015,ID_PRE_OCCURRENCE,"Identification predates the occurrence, possibly incorrect field mapping",Wiki,,,,,,,,,,,
1016,FIRST_OF_MONTH,"May indicate the date is only known or recorded to the Month. Flag if there is no precision data. datePrecision is not a curent DwC field",Wiki,,,,,,,,,,,
1017,FIRST_OF_YEAR,"May indicate the date is only known or recorded to the Year. Flag if there is no precision data. datePrecision is not a curent DwC field",Wiki,,,,,,,,,,,
1018,FIRST_OF_CENTURY,"May indicate the date is only known or recorded to the Century. Flag if there is no precision data. datePrecision is not a curent DwC field",Wiki,,,,,,,,,,,
1019,TAXON_AFFINITY_SPECIES,The scientific name has an aff. marker indicating a like-but-not identification,Wiki,,,,,,,,,,,
1020,TAXON_EXCLUDED_ASSOCIATED,"The taxon, while matched, also has an excluded match",Wiki,,,,,,,,,,,
1021,TAXON_CONFER_SPECIES,"The scientific name has a cf. marker, indicating uncertain identification",Wiki,,,,,,,,,,,
1022,TAXON_EXCLUDED,The taxon is excluded (should not be found in this location),Wiki,,,,,,,,,,,
1023,TAXON_ERROR,There has been a generic taxon matching error,Wiki,,,,,,,,,,,
1024,TAXON_HOMONYM,The supplied name and hierarchy is not enough to uniquely determine the name,Wiki,,,,,,,,,,,
1025,TAXON_INDETERMINATE_SPECIES,The supplied name contains an indeterminate species marker and an exact match could not be found,Wiki,,,,,,,,,,,
1026,TAXON_MISAPPLIED_MATCHED,The supplied name has been misapplied to another concept in the past,Wiki,,,,,,,,,,,
1027,TAXON_MISAPPLIED,The supplied name has been misapplied to another concept in the past with no accepted use,Wiki,,,,,,,,,,,
1028,TAXON_PARENT_CHILD_SYNONYM,The supplied name can be matched either onto the parent species or an autonymic subspecies,Wiki,,,,,,,,,,,
1029,TAXON_QUESTION_SPECIES,The supplied name contains a questionable identification marker (?),Wiki,,,,,,,,,,,
1030,TAXON_SPECIES_PLURAL,The supplied name contains a species plural marker and cannot be accuratey matched onto a single species,Wiki,,,,,,,,,,,
1031,MISSING_TAXONRANK,taxonRank not supplied with the record,Wiki,,,,,,,,,,,
1032,NAME_NOT_SUPPLIED,Neither scientific name or vernacular name were supplied,Wiki,,,,,,,,,,,
1033,UNKNOWN_KINGDOM,"Kingdom provided doesn't match a known kingdom e.g. Animalia, Plantae",Wiki,,,,,,,,,,,
1034,TAXON_SCOPE_MISMATCH,The supplied hints do not match the final name match,Wiki,,,,,,,,,,,
1035,TAXON_DEFAULT_MATCH,The ocurrence record was matched to a default value supplied by higher-order elements,Wiki,,,,,,,,,,,
1036,INVALID_SCIENTIFIC_NAME,"The scientific name provided is not structured as a valid scientific name. Also catches rank values or values such as ""UNKNOWN""",Wiki,,,,,,,,,,,
1037,SENSITIVITY_REPORT_INVALID,Sensitivity report invalid,Wiki,,,,,,,,,,,
1038,SENSITIVITY_REPORT_NOT_LOADABLE,Sensitivity report not loadable,Wiki,,,,,,,,,,,
1039,UNRECOGNISED_COLLECTION_CODE,Unrecognized collection code,Wiki,,,,,,,,,,,
